Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 2	L­u 3
Phèi th¹ch cÊp 4 (søc m¹nh vò khİ)	2	21	2501	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 18 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (søc m¹nh vò khİ)	2	21	2502	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 22 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (søc m¹nh vò khİ)	2	21	2503	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 26 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (søc m¹nh vò khİ)	2	21	2504	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 30 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (søc m¹nh nãn)	2	21	2505	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 6 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (søc m¹nh nãn)	2	21	2506	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 10 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (søc m¹nh nãn)	2	21	2507	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 14 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (søc m¹nh nãn)	2	21	2508	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 18 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (søc m¹nh nãn)	2	21	2509	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 22 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (søc m¹nh nãn)	2	21	2510	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 26 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (søc m¹nh nãn)	2	21	2511	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 30 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (søc m¹nh ¸o)	2	21	2512	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 6 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (søc m¹nh ¸o)	2	21	2513	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 10 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (søc m¹nh ¸o)	2	21	2514	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 14 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (søc m¹nh ¸o)	2	21	2515	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 18 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (søc m¹nh ¸o)	2	21	2516	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 22 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (søc m¹nh ¸o)	2	21	2517	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 26 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (søc m¹nh ¸o)	2	21	2518	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 30 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (søc m¹nh h¹ y)	2	21	2519	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 6 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (søc m¹nh h¹ y)	2	21	2520	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 10 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (søc m¹nh h¹ y)	2	21	2521	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 14 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (søc m¹nh h¹ y)	2	21	2522	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 18 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (søc m¹nh h¹ y)	2	21	2523	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 22 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (søc m¹nh h¹ y)	2	21	2524	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 26 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (søc m¹nh h¹ y)	2	21	2525	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, søc m¹nh t¨ng 30 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi c«ng vò khİ)	2	21	2526	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 6 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi c«ng vò khİ)	2	21	2527	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 10 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi c«ng vò khİ)	2	21	2528	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 14 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (néi c«ng vò khİ)	2	21	2529	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 18 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (néi c«ng vò khİ)	2	21	2530	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 22 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (néi c«ng vò khİ)	2	21	2531	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 26 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (néi c«ng vò khİ)	2	21	2532	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 30 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi c«ng nãn)	2	21	2533	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 6 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi c«ng nãn)	2	21	2534	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 10 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi c«ng nãn)	2	21	2535	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 14 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (néi c«ng nãn)	2	21	2536	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 18 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (néi c«ng nãn)	2	21	2537	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 22 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (néi c«ng nãn)	2	21	2538	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 26 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (néi c«ng nãn)	2	21	2539	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 30 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi c«ng ¸o)	2	21	2540	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 6 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi c«ng ¸o)	2	21	2541	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 10 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi c«ng ¸o)	2	21	2542	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 14 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (néi c«ng ¸o)	2	21	2543	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 18 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (néi c«ng ¸o)	2	21	2544	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 22 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (néi c«ng ¸o)	2	21	2545	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 26 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (néi c«ng ¸o)	2	21	2546	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 30 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi c«ng h¹ y)	2	21	2547	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 6 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi c«ng h¹ y)	2	21	2548	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 10 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi c«ng h¹ y)	2	21	2549	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 14 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (néi c«ng h¹ y)	2	21	2550	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 18 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (néi c«ng h¹ y)	2	21	2551	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 22 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (néi c«ng h¹ y)	2	21	2552	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 26 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (néi c«ng h¹ y)	2	21	2553	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi c«ng t¨ng 30 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (Phèi ho¹t vò khİ)	2	21	2554	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 6 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (Phèi ho¹t vò khİ)	2	21	2555	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 10 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (Phèi ho¹t vò khİ)	2	21	2556	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 14 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (Phèi ho¹t vò khİ)	2	21	2557	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 18 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (Phèi ho¹t vò khİ)	2	21	2558	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 22 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (Phèi ho¹t vò khİ)	2	21	2559	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 26 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (Phèi ho¹t vò khİ)	2	21	2560	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 30 ®iÓm (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (Phèi ho¹t nãn)	2	21	2561	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 6 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (Phèi ho¹t nãn)	2	21	2562	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 10 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (Phèi ho¹t nãn)	2	21	2563	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 14 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (Phèi ho¹t nãn)	2	21	2564	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 18 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (Phèi ho¹t nãn)	2	21	2565	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 22 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (Phèi ho¹t nãn)	2	21	2566	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 26 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (Phèi ho¹t nãn)	2	21	2567	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, linh ho¹t t¨ng 30 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
