Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Sếp chồng nhiều nhất	Hồi phục thuộc tính1	Trị số phục hồi thuộc tính mỗi nữa giây (1)	Hồi phục thuộc tính2	Trị số phục hồi thuộc tính mỗi nữa giây (2)	Hồi phục thuộc tính3	Trị số phục hồi thuộc tính mỗi nữa giây (3)	Hồi phục thuộc tính4	Trị số phục hồi thuộc tính mỗi nữa giây (4)	Thời gian duy trì hiệu lực (Số chẵn)	Lưu ( Chữ số)	Lưu ( Chữ số)	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Lưu (chuỗi ký tự)	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	"Có thể giao dịch hay không ( 0 có thể giao dịch, có thể bán; 1 không thể giao dịch không thể bán; 2 có thể bán, không thể giao dịch; 3 không thể bán, có thể giao dịch; 4 có thể bán, sau khi mang vào sẽ bị khóa)"	Có/không thể vứt (0 được; 1 không được)	Bảo lưu 1	Bảo lưu 2	Bảo lưu 3	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Trứng Thần Bí Tây Vực	2	1	30821	0	0	1												\image\item\other\ẩýẳả́ốẻùà̀a1.spr	\image\item\other\ẩýẳả́ốẻùà̀a0.spr	"Trứng thần bí đặc sản của Tây Vực, tương truyền người hữu duyên sẽ có thể khiến nó nở ra (Hoàn thành nhiệm vụ phục sinh thú cưng mới được mở)"		Thần bí	\script\item\xiyushengmidan.lua	1	2	1							
Rương Nhân Sâm Dưỡng Vinh Hoàn	2	1	30822	0	0	1												\image\item\other\̃ặ̉Ưẽọ1a1.spr	\image\item\other\̃ặ̉Ưẽọ1a0.spr	Rương chứa 100 Nhân Sâm Dưỡng Vinh Hoàn (Nhấp chuột phải sẽ nhận được)		Thần bí	\script\item\item_billing\common_pack_item.lua	1	0	1							
Rương Điền Thất Sa Đảm Hoàn	2	1	30823	0	0	1												\image\item\other\̃ặ̉Ưẽọ2a1.spr	\image\item\other\̃ặ̉Ưẽọ2a0.spr	Rương chứa 100 Điền Thất Sa Đảm Hoàn (Nhấp chuột phải sẽ nhận được)		Thần bí	\script\item\item_billing\common_pack_item.lua	1	0	1							
Rương Cửu Hoa Ngọc Lộ Hoàn	2	1	30824	0	0	1												\image\item\other\̃ặ̉Ưẽọ3a1.spr	\image\item\other\̃ặ̉Ưẽọ3a0.spr	Rương chứa 100 Cửu Hoa Ngọc Lộ Hoàn (Nhấp chuột phải sẽ nhận được)		Thần bí	\script\item\item_billing\common_pack_item.lua	1	0	1							
Dâu	2	1	30825	0	0	2000												\image\item\other\̃ííđ32.spr	\image\item\other\̃ííđ80.spr	Dùng để chế tạo Kem Dâu Tây và Kem Trà Xanh		Thần bí		1	0	0							
Lá Trà Xanh	2	1	30826	0	0	2000												\image\item\other\̃ốềả32.spr	\image\item\other\̃ốềả80.spr	Dùng để chế tạo Kem Dâu Tây và Kem Trà Xanh		Thần bí		1	0	0							
Sinh Tố Thập Cẩm	2	1	30827	0	0	2000												\image\item\other\̉ựẫ́32.spr	\image\item\other\̉ựẫ́80.spr	Dùng để chế tạo Siro Trái Cây 		Thần bí		1	0	0							
Kem Dâu Tây	2	1	30828	0	0	2000												\image\item\other\̃ííđ̉ựọẴẦĩ32.spr	\image\item\other\̃ííđ̉ựọẴẦĩ80.spr	Dùng Dâu Tây và Lá Trà Xanh chế tạo ra<enter><color=Gold>(Sau 24:00 31/05/2015 không thể sử dụng)		Thần bí	\script\online_activites\201505\item_free1.lua	1	0	1							
Kem Trà Xanh	2	1	30829	0	0	2000												\image\item\other\Ẩè̃ố̉ựọẴẦĩ32.spr	\image\item\other\Ẩè̃ố̉ựọẴẦĩ80.spr	Dùng Dâu Tây và Lá Trà Xanh chế tạo ra<enter><color=Gold>(Sau 24:00 31/05/2015 không thể sử dụng)		Thần bí	\script\online_activites\201505\item_free2.lua	1	0	1							
Siro Trái Cây 	2	1	30830	0	0	2000												\image\item\other\ậđạỷèầẵơ32.spr	\image\item\other\ậđạỷèầẵơ80.spr	Dùng Kem Dâu Tây và Đá Bào chế tạo ra<enter><color=Gold>(Sau 24:00 31/05/2015 không thể sử dụng)		Thần bí	\script\online_activites\201505\item_ib.lua	1	0	1							
Thẻ Kim Ngưu	2	1	30831	0	0	1												\image\item\other\ẵỖỀÊẴă32.spr	\image\item\other\ẵỖỀÊẴă80.spr	"Sau khi dùng kích hoạt Cẩm Nang Đại Sự Kiện sẽ nhận được phục vụ VIP 1 tháng, đồng thời nhận được 1 Thần Hành Bảo Điển.<enter><color=Gold>(Sau 24:00 09/06/2015 sẽ hết hạn)"		Thần bí		1	0	1							
Tinh Đàn Triệu Hồi Lệnh	2	1	30832	0	0	1												\image\item\other\ắặẽẫẵỖẦợa1.spr	\image\item\other\ắặẽẫẵỖẦợa0.spr	Sở hữu vật này có thể triệu hồi Giáo Chúng Tinh Đàn (Nhấp chuột phải sẽ nhận được Thú Cưng Giáo Chúng Tinh Đàn)		Thần bí		1	2	1							
Nguyệt Đàn Triệu Hồi Lệnh	2	1	30833	0	0	1												\image\item\other\ắặẽẫẵỖẦợa1.spr	\image\item\other\ắặẽẫẵỖẦợa0.spr	Sở hữu vật này có thể triệu hồi Giáo Chúng Nguyệt Đàn (Nhấp chuột phải sẽ nhận được Thú Cưng Giáo Chúng Nguyệt Đàn)		Thần bí		1	2	1							
Thần Đàn Triệu Hồi Lệnh	2	1	30834	0	0	1												\image\item\other\ắặẽẫẵỖẦợa1.spr	\image\item\other\ắặẽẫẵỖẦợa0.spr	Sở hữu vật này có thể triệu hồi Giáo Chúng Thần Đàn (Nhấp chuột phải sẽ nhận được Thú Cưng Giáo Chúng Thần Đàn)		Thần bí		1	2	1							
Túi Phúc	2	1	30835	0	0	999												\image\item\other\ìẽẲỡẫôáòẳả̀ỹạỹa1.spr	\image\item\other\ìẽẲỡẫôáòẳả̀ỹạỹa0.spr	"Túi của Bắc Đẩu Lão Nhân đánh rơi (Trong thời gian hoạt động, nhấp chuột phải mở ra sẽ nhận được đạo cụ huấn luyện thú cưng, mỗi ngày tối đa sử dụng được 100 cái)"		Thần bí	\script\online_activites\201505feedpet\item\item_fudai.lua	1	2	1							
Còi Thú Cưng-Thường	2	1	30836	0	0	999												\image\item\other\ẳẰẲẽẫẾa1.spr	\image\item\other\ẳẰẲẽẫẾa0.spr	Một con thú cưng bình thường (Nhấp chuột phải sẽ nhận được thú cưng bình thường để huấn luyện)		Thần bí	\script\online_activites\201505feedpet\item\item_shaozi.lua	1	2	1							
Thịt Cá Tươi	2	1	30837	0	0	999												\image\item\other\ẽấểóa1.spr	\image\item\other\ẽấểóa0.spr	Sau khi cho thú cưng huấn luyện ăn vào sẽ tăng 2 điểm độ cường tráng 		Thần bí		1	2	1							
Đùi Heo Thơm Ngon	2	1	30838	0	0	999												\image\item\other\ằỖỂẩa1.spr	\image\item\other\ằỖỂẩa0.spr	Sau khi cho thú cưng huấn luyện ăn vào sẽ tăng 3 điểm độ cường tráng 		Thần bí		1	2	1							
Tú Cầu	2	1	30839	0	0	999												\image\item\other\éồầũìẽa1.spr	\image\item\other\éồầũìẽa0.spr	"Cùng chơi trò chơi với thú cưng, giúp thú cưng tăng độ cường tráng lên gấp đôi"		Thần bí		1	2	1							
Thức Ăn Hết Hạn	2	1	30840	0	0	999												\image\item\other\ểóỀỀa1.spr	\image\item\other\ểóỀỀa0.spr	"Sau khi thú cưng ăn vào sẽ xảy ra phản ứng không tốt, độ cường tráng giảm đi một nửa."		Thần bí		1	2	1							
Rượu Nho	2	1	30841	0	0	999												\image\item\other\ặẽèẹắặa1.spr	\image\item\other\ặẽèẹắặa0.spr	"Buổi tối mùa hè rất thích hợp để tổ chức tiệc rượu (19:00 - 21:00 đặt lên trên bàn tiệc để sử dụng sẽ tăng bội số của điểm kinh nghiệm cơ bản, mỗi ngày chỉ dùng được 1 lần, tối đa được dùng 10 bình)"		Thần bí		1	2	1							
Tiên Quả	2	1	30842	0	0	999												\image\item\other\ằặẵỖạỷấàa1.spr	\image\item\other\ằặẵỖạỷấàa0.spr	"Thức ăn yêu thích của động vật, sau khi dùng sẽ tăng độ cường tráng đến trạng thái hoàn mỹ (Sau khi dùng thì độ cường tráng sẽ tăng lên 46 điểm)"		Thần bí		1	2	1							
Còi Thú Cưng-Hiếm	2	1	30843	0	0	999												\image\item\other\ẳẰẲẽẲỀẵầa1.spr	\image\item\other\ẳẰẲẽẲỀẵầa0.spr	Một con thú cưng đặc biệt ((Nhấp chuột phải sẽ nhận được thú cưng đặc biệt để huấn luyện)		Thần bí	\script\online_activites\201505feedpet\item\item_shaozi.lua	1	2	1							
Rương Hỏa Phụng	2	1	30844	0	0	10												\image\item\other\quest_069a1.spr	\image\item\other\quest_069a0.spr	"Rương chứa đựng bí kíp chế tạo trang bị Hỏa Phụng, chỉ có bang chủ mới được mở, nhận được 01 Hỏa Phụng Linh"		Thần bí	\script\function\honor_tong\ht_item_hfbox.lua	1	1	1							
Túi Võ Lâm Công Thành	2	1	30845	0	0	1												\image\item\other\ắặẽẫẵỖẦợa1.spr	\image\item\other\ắặẽẫẵỖẦợa0.spr	Mở ra sẽ nhận được 8 Công Thành Khiêu Chiến Lệnh		Thần bí		1	1	1							
Công Thành Khiêu Chiến Lệnh	2	1	30846	0	0	8												\image\item\other\ắặẽẫẵỖẦợa1.spr	\image\item\other\ắặẽẫẵỖẦợa0.spr	Phân phối Công Thành Khiêu Chiến Lệnh cho thành viên bang phái trong tổ đội		Thần bí		1	1	1							
Hồi Tiên Đơn	2	1	30847	0	0	999												\image\item\other\ễỡằẰàÔ1a1.spr	\image\item\other\ễỡằẰàÔ1a0.spr	"Đơn dược thần kỳ từ hải ngoại tiên sơn lưu truyền ra, tiên đơn này hỗ trợ cho hiệp sĩ đột phá cảnh giới ( Nhân vật sau khi phục sinh 3 khi tăng cấp cần phải dùng vật phẩm này)"		Thần bí		1	0	1							
Bích Ngọc Linh Lung	2	1	30848	0	0	10												\image\item\other\ormeta_006a1.spr	\image\item\other\ormeta_006a0.spr	Trân bảo hiếm có của nước Thổ Phồn		Thần bí		1	2	1							
Tiên Ngọc Linh Hoàn	2	1	30849	0	0	10												\image\item\other\secr_019a1.spr	\image\item\other\secr_019a0.spr	Linh dược giúp thân thể khỏe mạnh		Thần bí		1	2	1							
Kim Hoa	2	1	30850	0	0	10												\image\item\other\skius_007a1.spr	\image\item\other\skius_007a0.spr	Hoa không bao giờ héo		Thần bí		1	2	1							
Nội Công Tâm Kinh	2	1	30851	0	0	10												\image\item\other\ỀọãẵẳẳẤĩấộa1.spr	\image\item\other\ỀọãẵẳẳẤĩấộa0.spr	Kinh thư có thể tăng cường nội công		Thần bí		1	2	1							
Tổ Yến Bạch Tuyết	2	1	30852	0	0	10												\image\item\usable\rich_009a1.spr	\image\item\usable\rich_009a0.spr	Thực phẩm dinh dưỡng bổ khí dưỡng thân		Thần bí		1	2	1							
Thư Chấp Nhận	2	1	30853	0	0	1												\image\item\other\coll_111a1.spr	\image\item\other\coll_111a0.spr	Thư của Sa Ca Ninh Bố gửi cho Lý Đức Dực		Thần bí		1	2	1							
Mảnh Bản Đồ-Trái	2	1	30854	0	0	1												\image\item\other\̃ỉ̉ƯỂẳậộặơ36.spr	\image\item\other\̃ỉ̉ƯỂẳậộặơ80.spr	Thiên Âm Thần Bí Cơ Địa_Mảnh Bản Đồ-Trái		Thần bí		1	2	1							
Mảnh Bản Đồ-Phải	2	1	30855	0	0	1												\image\item\other\ẫủ̉ứảỂỂẳậộặơa1.spr	\image\item\other\ẫủ̉ứảỂỂẳậộặơa0.spr	Thiên Âm Thần Bí Cơ Địa-Nửa bản đồ bên phải		Thần bí		1	2	1							
Kim Tâm Hồn Đơn	2	1	30856	0	0	1												\image\item\other\ễẨẦẦẽẫàÔa1.spr	\image\item\other\ễẨẦẦẽẫàÔa0.spr	Linh đơn diệu dược có thể tăng võ công		Thần bí		1	2	1							
Mộc Tâm Hồn Đơn	2	1	30857	0	0	1												\image\item\other\ẽẫềụểủa1.spr	\image\item\other\ẽẫềụểủa0.spr	Linh đơn diệu dược có thể tăng võ công		Thần bí		1	2	1							
Thủy Tâm Hồn Đơn	2	1	30858	0	0	1												\image\item\other\ệéẳảễưấẰa1.spr	\image\item\other\ệéẳảễưấẰa0.spr	Linh đơn diệu dược có thể tăng võ công		Thần bí		1	2	1							
Hỏa Tâm Hồn Đơn	2	1	30859	0	0	1												\image\item\other\ẦỳẹêỂốa1.spr	\image\item\other\ẦỳẹêỂốa0.spr	Linh đơn diệu dược có thể tăng võ công		Thần bí		1	2	1							
Thổ Tâm Hồn Đơn	2	1	30860	0	0	1												\image\item\other\coll_045a1.spr	\image\item\other\coll_045a0.spr	Linh đơn diệu dược có thể tăng võ công		Thần bí		1	2	1							
Thiên Âm Lệnh Bài	2	1	30861	0	0	10												\image\item\other\holi_022a1.spr	\image\item\other\holi_022a0.spr	Lệnh bài để vào Thiên Âm Thần Bí Cơ Địa		Thần bí		1	2	1							
Thư Tiến Cử Phục Sinh	2	1	30862	0	0	1												\image\item\other\spec_002a1.spr	\image\item\other\spec_002a0.spr	Mang theo thư đến Tuyền Châu tìm Bắc Đẩu Lão Nhân để thực hiện Phục sinh 3		Thần bí		1	2	1							
Mảnh Đá Kỹ Năng	2	1	10011	0	0	9999												\image\item\other\ormeta_001a1.spr	\image\item\other\ormeta_001a0.spr	Dùng 100 mảnh ghép thành 1 Đá Kỹ Năng Cấp 1 và trực tiếp bỏ vào Cẩm Nang Đá Kỹ Năng.<color=Gold>Nhấp chuột phải để dùng		Thần bí	\script\item\skill_app_stuff.lua	1	2	1			999				
Rương Bảo Đồ	2	1	30863	0	0	2000												\image\item\other\̃ỉ̉ƯỂẳẽọ32.spr	\image\item\other\̃ỉ̉ƯỂẳẽọ80.spr	Dùng để chế tạo Bảo Đồ Sơ Cấp và Bảo Đồ Thần Bí		Thần bí		1	0	0							
Chìa khóa bạc	2	1	30864	0	0	2000												\image\item\other\ềứễẴ́ì32.spr	\image\item\other\ềứễẴ́ì80.spr	Dùng để chế tạo Bảo Đồ Sơ Cấp và Bảo Đồ Thần Bí		Thần bí		1	0	0							
Chìa khóa vàng	2	1	30865	0	0	2000												\image\item\other\ẵỖễẴ́ì32.spr	\image\item\other\ẵỖễẴ́ì80.spr	Dùng để chế tạo Bảo Vật Vạn Niên		Thần bí		1	0	0							
Bảo Đồ Sơ Cấp	2	1	30866	0	0	2000												\image\item\other\́ừẳả̃ỉ̉ƯỂẳ32.spr	\image\item\other\́ừẳả̃ỉ̉ƯỂẳ80.spr	Dùng Rương Bảo Đồ và Chìa Khóa Bạc chế tạo ra<enter><color=Gold>(Sau 24:00 30/06/2015 không thể sử dụng)		Thần bí	\script\online_activites\201506\item_free1.lua	1	0	1							
Bí Mật Tàng Bảo Đồ	2	1	30867	0	0	2000												\image\item\other\ẫủẪỉ̃ỉ̉ƯỂẳ32.spr	\image\item\other\ẫủẪỉ̃ỉ̉ƯỂẳ80.spr	Dùng Rương Bảo Đồ và Chìa Khóa Bạc chế tạo ra<enter><color=Gold>(Sau 24:00 30/06/2015 không thể sử dụng)		Thần bí	\script\online_activites\201506\item_free2.lua	1	0	1							
Bảo Vật Vạn Niên	2	1	30868	0	0	2000												\image\item\other\ỂũẤờ̉Ưẻù32.spr	\image\item\other\ỂũẤờ̉Ưẻù80.spr	Dùng Bảo Đồ Sơ Cấp và Chìa Khóa Vàng chế tạo ra<enter><color=Gold>(Sau 24:00 30/06/2015 không thể sử dụng)		Thần bí	\script\online_activites\201506\item_ib.lua	1	0	1							
Thẻ Song Tử	2	1	30869	0	0	1												\image\item\other\ậôìểìự32.spr	\image\item\other\ậôìểìự80.spr	"Sau khi dùng kích hoạt Cẩm Nang Đại Sự Kiện sẽ nhận được phục vụ VIP 1 tháng, đồng thời nhận được 1 Thần Hành Bảo Điển.<enter><color=Gold>(Sau 24:00 10/07/2015 sẽ hết hạn)"		Thần bí		1	0	1							
Mật Thư Tây Vực	2	1	30870	0	0	999												\image\item\other\ắỹẦợấộa1.spr	\image\item\other\ắỹẦợấộa0_120.spr	"Thư cầu viện của ba nước Đại Lý, Thổ Phồn và Tây Hạ gửi cho Võ Lâm Minh, ghi nội dung của hành động mới nhất của Thiên Âm Giáo, trên thư ghi rõ người nhận là Đại Sứ Hoạt Động"		Thần bí		1	0	1							
Cống Phẩm Tây Vực	2	1	30871	0	0	999												\image\item\other\ễẨẦẦỂẪèỳ̉Ưẽọa1.spr	\image\item\other\ễẨẦẦỂẪèỳ̉Ưẽọa0.spr	"Ba nước Tây Vực vì muốn chào mừng Tết Đoan Ngọ nên đã chuẩn bị một ít đặc sản, tuy rằng không đủ nhưng Chủ Tửu Lầu có cách chế biến thành món ăn thơm ngon."		Thần bí		1	0	1							
Hộp Quà Bánh Vuông	2	1	30872	0	0	999												\image\item\other\ếýãẵéẻàẤụếìể36.spr	\image\item\other\ếýãẵéẻàẤụếìể80.spr	Hộp bánh chưng dùng gạo nếp của Tây Vực làm ra.		Thần bí	\script\online_activites\201506cn\item_zongzi.lua	1	0	1							
Hộp Quà Bánh Tròn	2	1	30873	0	0	999												\image\item\other\ụếìểẮủẲé2a1.spr	\image\item\other\ụếìểẮủẲé2a0.spr	Hộp bánh chưng dùng gạo nếp của Tây Vực và hương liệu thơm ngon làm ra.		Thần bí	\script\online_activites\201506cn\item_zongzi.lua	1	0	1							
Hương Liệu Tây Vực	2	1	30874	0	0	999												\image\item\other\Ẩẹ̀ẫặẴa1.spr	\image\item\other\Ẩẹ̀ẫặẴa0.spr	"Hương liệu của Tây Vực, khi ngửi sẽ nhận thấy mùi của hồ tiêu, khi làm bánh chưng thêm vào một ít thì mùi vị sẽ rất thơm ngon."		Thần bí		1	0	1							
Túi Quà Ngoại Trang Phần Hỏa ảm Sương (Đỏ)	2	1	30875	0	0	1												\image\item\other\ẦỄấ̉ằỖắổấệãỵấẻẲéìểa1.spr	\image\item\other\ẦỄấ̉ằỖắổấệãỵấẻẲéìểa0.spr	Hộp quà đựng bộ ngoại trang Phần Hỏa ảm Sương màu đỏ		Thần bí		1	2	1							
Túi Quà Ngoại Trang Phần Hỏa ảm Sương (Vàng)	2	1	30876	0	0	1												\image\item\other\ẦỄấ̉ằỖắổấệãỵấẻẲéìểa1.spr	\image\item\other\ẦỄấ̉ằỖắổấệãỵấẻẲéìểa0.spr	Hộp quà đựng bộ ngoại trang Phần Hỏa ảm Sương màu vàng		Thần bí		1	2	1							
Túi Quà Ngoại Trang Phần Hỏa ảm Sương (Đen)	2	1	30877	0	0	1												\image\item\other\ẦỄấ̉ằỖắổấệãỵấẻẲéìểa1.spr	\image\item\other\ẦỄấ̉ằỖắổấệãỵấẻẲéìểa0.spr	Hộp quà đựng bộ ngoại trang Phần Hỏa ảm Sương màu đen		Thần bí		1	2	1							
Phối phương Nhẫn Hào Hiệp	2	1	30878	1	0	1												\image\item\other\ỀọãẵẳẳẤĩấộa1.spr	\image\item\other\ỀọãẵẳẳẤĩấộa0.spr	"Phối phương ghi chép công nghệ chế tạo Nhẫn Hào Hiệp.<enter><color=Gold>(Nhấp chuột phải để học, yêu cầu kỹ năng chế tạo tương ứng cấp 90)"		Đã khóa		1	2	1			999				
Phiếu Đổi Mật Tịch Siêu Cấp	2	1	30879	0	0	1												\image\item\other\Ắủặã̀ỹì̀ệẵ32.spr	\image\item\other\Ắủặã̀ỹì̀ệẵ80.spr	"Khi danh vọng thế lực đạt Vạn người ngưỡng mộ, sẽ có thể vào Tiệm Danh Vọng đổi 1 quyển Mật Tịch Siêu Cấp; cần tiêu hao 2 quyển Mật Tịch Cao Cấp tương ứng."		Thần bí		1	1	1							
Kim tệ 1	2	1	30880	0	0	1000												\image\item\other\goldcard32-1.spr	\image\item\other\goldcard80-1.spr	Sử dụng nhận được 1 Kim phiếu		Thần bí	\script\item\jinjuan_1.lua	1	3	1							
Kim tệ 10	2	1	30881	0	0	1000												\image\item\other\goldcard32-10.spr	\image\item\other\goldcard80-10.spr	Sử dụng nhận được 10 Kim phiếu		Thần bí	\script\item\jinjuan_10.lua	1	3	1							
Kim tệ 100	2	1	30882	0	0	1000												\image\item\other\goldcard32-100.spr	\image\item\other\goldcard80-100.spr	Sử dụng nhận được 100 Kim phiếu		Thần bí	\script\item\jinjuan_100.lua	1	3	1							
Lệnh Bài	2	1	30883	0	0	2000												\image\item\other\ẦợỀặ32.spr	\image\item\other\ẦợỀặ80.spr	Dùng để chế tạo Quân Lệnh Trung Cấp và Quân Lệnh Cao Cấp		Thần bí		1	0	0							
Quân Phục	2	1	30884	0	0	2000												\image\item\other\ắỹãỵ32.spr	\image\item\other\ắỹãỵ80.spr	Dùng để chế tạo Quân Lệnh Trung Cấp và Quân Lệnh Cao Cấp		Thần bí		1	0	0							
Binh Khí	2	1	30885	0	0	2000												\image\item\other\̉ứặữ32.spr	\image\item\other\̉ứặữ80.spr	Dùng để chế tạo Kim Bài Tinh Quân		Thần bí		1	0	0							
Quân Lệnh Trung Cấp	2	1	30886	0	0	2000												\image\item\other\ệéẳảắỹẦợ32.spr	\image\item\other\ệéẳảắỹẦợ80.spr	Dùng Lệnh Bài và Quân Phục chế tạo ra<enter><color=Gold>(Sau 24:00 31/07/2015 hết hạn)		Thần bí	\script\online_activites\201507\item_free1.lua	1	0	1							
Quân Lệnh Cao Cấp	2	1	30887	0	0	2000												\image\item\other\áòẳảắỹẦợ32.spr	\image\item\other\áòẳảắỹẦợ80.spr	Dùng Lệnh Bài và Quân Phục chế tạo ra<enter><color=Gold>(Sau 24:00 31/07/2015 hết hạn)		Thần bí	\script\online_activites\201507\item_free2.lua	1	0	1							
Kim Bài Tinh Quân	2	1	30888	0	0	2000												\image\item\other\ẵỖỀặéầắý32.spr	\image\item\other\ẵỖỀặéầắý80.spr	Lệnh Bài sở hữu binh quyền cao nhất<enter><color=Gold>(Sau 24:00 31/07/2015 hết hạn)		Thần bí	\script\online_activites\201507\item_ib.lua	1	0	1							
Thẻ cự giải	2	1	30889	0	0	1												\image\item\other\ắịéãìự32.spr	\image\item\other\ắịéãìự80.spr	Sau khi dùng Cẩm Nang Đại Sự Kiện kích hoạt sẽ nhận được dịch vụ VIP 1 tháng và 1 Thần Hành Bảo Điển.		Thần bí	\script\function\vip_card\item_vip_card.lua	1	0	1							
Hoa sen	2	1	30890	0	0	2000												\image\item\other\Ầôằă32.spr	\image\item\other\Ầôằă80.spr	Dùng để chế tạo Bó Hoa Sen Hồng và Bó Hoa Sen Trắng		Thần bí		1	0	0							
Giấy Gói Hoa	2	1	30891	0	0	2000												\image\item\other\̀ỹì̀ệẵ32.spr	\image\item\other\̀ỹì̀ệẵ80.spr	Dùng để chế tạo Bó Hoa Sen Hồng và Bó Hoa Sen Trắng		Thần bí		1	0	0							
Thiệp Chúc Phúc	2	1	30892	0	0	2000												\image\item\other\ìÊáÊèỷ32.spr	\image\item\other\ìÊáÊèỷ80.spr	Dùng để chế tạo Bó Hoa Vu Lan		Thần bí		1	0	0							
Bó Hoa Sen Hồng	2	1	30893	0	0	2000												\image\item\other\ãỒẫôẦôằăấứ32.spr	\image\item\other\ãỒẫôẦôằăấứ80.spr	Dùng Hoa Sen và Giấy Gói Hoa chế tạo ra		Thần bí	\script\2019\item\201907_item1.lua	1	0	1							
Bó Hoa Sen Trắng	2	1	30894	0	0	2000												\image\item\other\̀ìẫôẦôằăấứ32.spr	\image\item\other\̀ìẫôẦôằăấứ80.spr	Dùng Hoa Sen và Giấy Gói Hoa chế tạo ra		Thần bí	\script\2019\item\201907_item2.lua	1	0	1							
Bó Hoa Vu Lan	2	1	30895	0	0	2000												\image\item\other\ểỒẮẳẦôằăấứ32.spr	\image\item\other\ểỒẮẳẦôằăấứ80.spr	"Dùng Bó Hoa Sen Hồng, Bó Hoa Sen Trắng và Thiệp Chúc Phúc chế tạo ra"		Thần bí	\script\2019\item\201907_itemvip.lua	1	0	1							
Thẻ Sư Tử	2	1	30896	0	0	1												\image\item\other\ấăìểìự32.spr	\image\item\other\ấăìểìự80.spr	Sau khi dùng Cẩm Nang Đại Sự Kiện kích hoạt sẽ nhận được dịch vụ VIP 1 tháng và 1 Thần Hành Bảo Điển.		Thần bí	\script\function\vip_card\item_vip_card.lua	1	0	1							
Ngọn Lửa Đỏ	2	1	30897	0	0	1000												\image\item\other\ẲỡẫôấƠằỖa1.spr	\image\item\other\ẲỡẫôấƠằỖa0.spr	Ngọn Lửa Đỏ tượng trưng cho vinh dự		Thần bí		1	0	1							
Ngọn Lửa Lục	2	1	30898	0	0	1000												\image\item\other\ẨèẫôấƠằỖa1.spr	\image\item\other\ẨèẫôấƠằỖa0.spr	Ngọn Lửa Lục tượng trưng cho sức sống		Thần bí		1	0	1							
Ngọn Lửa Vàng	2	1	30899	0	0	1000												\image\item\other\ằặẫôấƠằỖa1.spr	\image\item\other\ằặẫôấƠằỖa0.spr	Ngọn Lửa Vàng tượng trưng cho bội thu		Thần bí		1	0	1							
Ngọn Lửa Lam	2	1	30900	0	0	1000												\image\item\other\ẮảẫôấƠằỖa1.spr	\image\item\other\ẮảẫôấƠằỖa0.spr	Ngọn Lửa Lam tượng trưng cho trí tuệ		Thần bí		1	0	1							
Ngọn Lửa Đen	2	1	30901	0	0	1000												\image\item\other\ẲẾẫôấƠằỖa1.spr	\image\item\other\ẲẾẫôấƠằỖa0.spr	Ngọn Lửa Đen tượng trưng cho công bằng		Thần bí		1	0	1							
Ngọn Lửa Ngũ Sắc	2	1	30902	0	0	1000												\image\item\other\ẻồ̃ấẦỖẦĐấƠằỖa1.spr	\image\item\other\ẻồ̃ấẦỖẦĐấƠằỖa0.spr	Ngọn Lửa Ngũ Sắc tượng trưng cho hòa bình		Thần bí		1	0	1							
Ngũ Sắc Chi Tinh	2	1	30903	0	0	1000												\image\item\wenshi\ẻồẫỗấẩắa1.spr	\image\item\wenshi\ẻồẫỗấẩắa0.spr	"Ngũ Sắc Chi Tinh có thể ghép thành Ngọn Lửa Ngũ Sắc, Ngự Các có bán"		Thần bí		1	0	1							
Bao Ngũ Sắc Chi Tinh (Nhỏ)	2	1	30904	0	0	1												\image\item\other\ầĐẤờẹâắồỹa1.spr	\image\item\other\ầĐẤờẹâắồỹa0.spr	Mở ra nhận được 10 Ngũ Sắc Chi Tinh		Thần bí	\script\online\olympic\item\xiaobaowucaishenshi.lua	1	0	1							
Bao Ngũ Sắc Chi Tinh (Lớn)	2	1	30905	0	0	1												\image\item\other\Ắảẫôáòẳả̀ỹạỹa1.spr	\image\item\other\Ắảẫôáòẳả̀ỹạỹa0.spr	Mở ra nhận được 50 Ngũ Sắc Chi Tinh		Thần bí	\script\online\olympic\item\dabaowucaishenshi.lua	1	0	1							
Thẻ hoạt động	2	1	30906	0	0	1												\image\item\other\ằợảẰẴă32.spr	\image\item\other\ằợảẰẴă80.spr	"Sau khi thẻ hoạt động tháng này kích hoạt, 24:00 ngày cuối cùng của tháng mất hiệu lực"		Thần bí		1	0	1							
Linh Thạch khóa (1)	2	1	30907	0	0	999												\image\item\other\ậứẦộấẰ1 a1.spr	\image\item\other\ậứẦộấẰ1 a0.spr	"khi sử dụng để tẩy luyện trang bị 5 sao, có thể khóa thuộc tính thứ 1(chuột phải sử dụng)"		Thần bí	\script\equip_feed\item_equip_feed_reset_advance.lua	1	0	1							
Linh Thạch khóa (2)	2	1	30908	0	0	999												\image\item\other\ậứẦộấẰ2 a1.spr	\image\item\other\ậứẦộấẰ2 a0.spr	"khi sử dụng để tẩy luyện trang bị 5 sao, có thể khóa thuộc tính thứ 2(chuột phải sử dụng)"		Thần bí	\script\equip_feed\item_equip_feed_reset_advance.lua	1	0	1							
