Task_ID	dialog_diff	dialog_1	dialog_2	dialog_3	dialog_4	dialog_5	dialog_6	dialog_7	dialog_8	dialog_9	dialog_10	dialog_11	dialog_12	dialog_13	dialog_14	dialog_15	dialog_16	dialog_17	dialog_18	dialog_19	dialog_20	Description	Task_Tip	Unfinish_Talk
50	finish_talk	NpcName: ta kh«ng ph¶i lµ kÎ tham sèng sî chÕt, chØ lµ ta phông lÖnh mµ canh gi÷ NhËm Ng· Hµnh, chø kh«ng ph¶i lµ do ı cña ta.																						
51	get_talk	PlayerName: nghe ta hái ®©y, xİch s¾t bªn trong giam gi÷ NhËm gi¸o chñ lµm thÕ nµo ®Ó më ra. H·y mau khai b¸o!	NpcName: ta sÏ nãi hÕt nh÷ng g× ta biÕt. §©y ®­îc gäi lµ Vßng hµn thiÕt ngh×n n¨m, do vŞ thî rÌn t¹i §¹i Lı tinh luyÖn, chØ cã «ng ta míi biÕt ®­îc c¸i ph¸ gi¶i.	PlayerName: cã thËt kh«ng? Ng­¬i ®õng hßng gië trß?	NpcName: m¹ng ta chØ cã 1, tin hay kh«ng lµ tïy ng­¬i	PlayerName: th«i ®­îc, nÕu ng­¬i d¸m nãi l¸o, nhÊt ®Şnh ta sÏ quay l¹i t×m ng­¬i tİnh sæ.	NpcName: ta s½n sµng chê ng­¬i.																	
51	finish_talk	PlayerName: NhËm gi¸o chñ, Hoµn Chung C«ng nãi r»ng chØ cã thî rÌn t¹i Thµnh §¹i Lı míi biÕt c¸ch ph¸ gi¶i vßng s¾t trªn tay tiÒn bèi, hay chóng ta cïng ®Õn §¹i Lı hái tham xem thÕ nµo.																						
52	get_talk	NpcName# Th«i ®­îc, tay cø v­íng theo xİch s¾t thÕ nµy thËt bÊt tiÖn, chóng ta h·y cïng ®Õn §¹i Lı mét chuyÕn nµo., haha	PlayerName: chóng ta nhÊt ®Şnh sÏ ph¸ ®­îc vßng xİch s¾t nµy.	NpcName: ®a t¹ <sex>, ngµy sau NhËm Ng· Hµnh ta nhÊt ®Şnh sÏ b¸o ®¸p ®¹i ¬n cøu m¹ng cña <sex>.	PlayerName: gi¸o chñ kh¸ch khİ qu¸ råi.	NpcName: vËy chóng ta lËp tøc lªn ®­êng th«i, ph¸ vì xİch s¾t xong chóng ta sÏ tİnh chuyÖn sau.	PlayerName: gi¸o chñ cßn nhí H­íng ®¹i ca, H­íng VÊn Thiªn chø?	NpcName: VÊn Thiªn ­, sao ta l¹i cã thÓ quªn «ng ta ®­îc.	PlayerName: n¨m x­a khi gi¸o chñ bŞ giam trong ®Şa lao, H­íng ®¹i ca ®· rêi khái NhËt NguyÖt ThÇn Gi¸o, Èn c­ t¹i §¶o §µo Hoa.	NpcName: å thÕ th× tèt qu¸, h¶o huynh ®Ö bao n¨m kh«ng gÆp cña ta	PlayerName#vËy th× NhËm gi¸o chñ h·y ®Õn §¶o §µo Hoa gÆp H­íng ®¹i ca tr­íc, viÖc t×m thî rÌn L­u cø giao cho t¹i h¹. Gi¸o chñ cïng h­íng ®¹i ca l©u ngµy kh«ng gÆp nhÊt ®Şnh sÏ cã nhiÒu ®iÒu trao ®æi.	NpcName: VËy th× phiÒn <sex> thªm lÇn n÷a råi.	PlayerName: gi¸o chñ kh«ng nªn qu¸ kh¸ch khİ. VËy chóng ta t¹m chia tay hÑn gÆp l¹i t¹i §µo Hoa §¶o.											
52	finish_talk	PlayerName: xin chµo ®¹i thóc. Xin hái ®¹i thóc cã biÕt c¸ch më khãa Vßng Hµn ThiÕt ngh×n n¨m kh«ng?	NpcName: Vßng Hµn ThiÕt ngh×n n¨m? Sao <sex> l¹i biÕt ®­îc Vßng Hµn ThiÕt Ngh×n N¨m?	PlayerName: xem ra Hoµn Chung C«ng kh«ng gÆt ta. ThËt kh«ng giÊu g× ®¹i thóc, ta cã mét vŞ b»ng h÷u bŞ giam cÇm trªn Mai Trang b¬i vßng hµn thiÕt ngh×n n¨m nµy v× thÕ mong ®Õn ®©y t×m ®¹i thóc gióp ®ì ph¸ gi¶i.	NpcName: å xem ra vŞ b»ng h÷u cña <sex> kh«ng hÒ ®¬n gi¶n, ph¶i dïng ®Õn Vßng Hµn ThiÕt Ngh×n N¨m ®Ó giam cÇm.																			
53	get_talk	PlayerName: ®¹i thóc qu¶ lµ tinh ı, thÕ nªn xin ®¹i thóc gi÷ bİ mËt cho. ChuyÖn liªn quan ®Õn an nguy cña c¶ vâ l©m trung nguyªn.	NpcName: th«i ®­îc, ta nhÊt ®Şnh gi÷ bİ mËt nµy. Cßn víi Vßng Hµn ThiÕt Ngh×n N¨m lµ do chİnh ta rÌn ra, lo¹i hµn thiÕt nµy v« cïng thÇn kú, ®ao kiÕm kh«ng thÓ nµo ph¸ vì, chØ cã duy nhÊt dïng Háa Hå Linh HuyÕt trong Long Nh·n §éng tÇng 1 míi cã thÓ më ra. C¸c h¹ h·y ®i thu thËp huyÕt dŞch cña chóng råi nhá giät trªn vßng hµn thiÕt sau ®ã dïng Háa LuyÖn ThiÕt Trïy nµy cña ta gâ m¹nh, vßng thiÕt sÏ tù ®éng vì ra.	PlayerName: vßng hµn thiÕt nµy qu¶ thËt thÇn kú, xin ®a t¹ ®¹i thóc chØ ®iÓm. T¹i h¹ ph¶i ®i thu thËp Linh huyÕt ngay.	NpcName: <sex> kh«ng cÇn qu¸ kh¸ch s¸o. Hi väng cã thÓ gi¶i cøu ®­îc vŞ b»ng h÷u cña <sex>	PlayerName: t¹i h¹ nhÊt ®Şnh sÏ cè g¾ng.																		
53	finish_talk	NpcName: <sex> ®· quay l¹i råi sao.	PlayerName: NhËm gi¸o chñ, t¹i h¹ ®· thu thËp ®ñ Háa Hå Linh HuyÕt ®Ó ph¸ vì vßng hµn thiÕt råi. Chóng ta h·y nhanh chãng thùc hiÖn th«i.	NpcName: thÕ th× c¶m t¹ <sex> qu¸.	NpcName: Aha, Háa Hå Linh HuyÕt nµy qu¶ thËt lîi h¹i. Cuèi cïng ta ®· ®­îc tù do råi, hahaha.	PlayerName: xin chóc mõng NhËm gi¸o chñ ®­îc tù do. Nh÷ng ngµy gÇn ®©y ch¾c H­íng ®¹i ca rÊt vui mõng khi gi¸o chñ ®­îc gi¶i tho¸t khái ®¹i lao. Kh«ng biÕt bÖnh t×nh cña H­íng ®¹i ca thÕ nµo råi.	NpcName: H­íng tiÓu ®Ö tróng ¸m thñ t¹i H¾c Méc Nhai n¨m x­a gäi lµ H¾c ¢m §éc, ®Õn nay vÉn ch­a gi¶i, bÖnh t×nh th× ngµy cµng nghiªm träng. Ta biÕt chØ cã Ph¹m Träng Yªn t¹i nam phñ Thµnh §« míi biÕt c¸ch gi¶i ®éc nµy th«i.																	
54	get_talk	PlayerName: vËy chóng ta h·y nhanh chãng ®i t×m thÇn y gi¶i cøu H­íng ®¹i ca th«i.NhËm gi¸o chñ h·y tiÕp tôc nghÜ ng¬i, viÖc t×m thÇn y h·y ®Ó t¹i h¹ gi¶i quyÕt.	NpcName: <sex> nh÷ng ngµy nay ®Òu v× huynh ®Ö ta mµ b«n ba kh¾p n¬i, th«i th× h·y ®Ó ta ®i t×m thÇn y lµ ®­îc råi.	PlayerName: nhËm gi¸o chñ qu¸ lo l¾ng råi, t¹i h¹ tuæi trÎ lùc thŞnh, nh÷ng viÖc nµy nh­ thÓ rÌn luyÖn th©n thÓ, gi¸o chñ l¹i võa ®­îc tho¸t khái ®Şa lao, thÓ lùc ch­a håi phôc hÕt kh«ng tiÖn ®éng thñ.	NpcName: th«i ®­îc, <sex> ®· nhiÖt t×nh nh­ thÕ, ta v« cïng c¶m kİch	PlayerName: v·n bèi lªn ®­êng ngay ®©y.																		
54	finish_talk	NpcName: <sex> t×m ta cã viÖc chi?																						
55	get_talk	PlayerName: Ph¹m l·o b¸, t¹i h¹ cã mét vŞ b»ng h÷u bŞ tróng H¾c ¢m §éc, xin hái Ph¹m l·o b¸o cã thÓ ra tay cøu ch÷a kh«ng?	NpcName: ta biÕt c¸ch gi¶i ®éc nµy, nh­ng ta ®ang cÇn mét sè İt d­îc liÖu ®Ó luyÖn ®¬n, nÕu <sex> cã thÓ gióp ta t×m vÒ ta sÏ bµo chÕ thuèc gi¶i cho c¸c h¹.	PlayerName: thÕ l·o b¸ cÇn lo¹i d­îc liÖu nµo?	NpcName: <sex> h·y ®Õn b¾c bé T©y Song B¶n N¹p thu thËp 10 D· Mao T­îng Nha, sau ®ã ®Õn §«ng H¶i H¶i T©n 1 t×m §«ng H¶i Thñy Téc SÜ Binh ®o¹t lÊy 10 Tr©n Ch©u vÒ cho ta nhĞ.	PlayerName: t¹i h¹ nhÊt ®Şnh sÏ thu thËp ®ñ vÒ cho l·o b¸.																		
55	finish_talk	PlayerName: Ph¹m l·o b¸, ®©y chİnh lµ nguyªn liÖu mµ ng­êi cÇn.	NpcName: tèt, tèt, <sex> qu¶ lµ vâ c«ng cao c­êng, cã thÓ thu thËp nguyªn liÖu mét c¸ch nhanh chãng nh­ thÕ.																					
56	get_talk	NpcName: ®­îc råi, ®©y chİnh lµ thuèc gi¶i H¾c ¢m §éc mµ ta ®· võa chuÈn bŞ, ng­êi dïng thuèc nµy trong 7 ngµy, ®ång thêi cÇn vËn c«ng trŞ liÖu sau mçi lÇn dïng thuèc nh»m kh«i phôc thÓ lùc cña ng­êi bÖnh	PlayerName: xin ®a t¹ Ph¹m l·o b¸, t¹i h¹ nhÊt ®Şnh kh«ng quªn ¬n nµy.	NpcName: ®­îc råi, <sex> h·y mau trë vÒ cøu ch÷a cho vŞ b»ng h÷u cña c¸c h¹ ®i.																				
56	finish_talk	PlayerName: NhËm gi¸o chñ, t¹i h¹ ®· mang thuèc gi¶i vÒ råi ®©y.	NpcName: Hay qu¸, <sex> h·y mau ®­a cho H­íng l·o ®Ö dïng th«i.	PlayerName: Ph¹m l·o b¸ b¶o r»ng thuèc nµy ph¶i dïng liªn tôc trong 7 ngµy, ®ång thêi cÇn cã ng­êi vËn c«ng trŞ liÖu trong qu¸ tr×nh dïng thuèc cña ng­êi bÖnh nh»m håi phôc thÓ lùc cña «ng ta	NpcName: viÖc vËn c«ng trŞ liÖu cø giao cho ta, ta cã thÓ gióp H­íng l·o ®Ö b»ng néi c«ng cña ta																			
57	get_talk	PlayerName: thÕ th× tèt qu¸. NhËm gi¸o chñ,t¹i h¹ cßn cã 1 viÖc cÇn thØnh gi¸o. Tõ khi §«ng Ph­¬ng BÊt B¹i tu luyÖn 'Quú Hoa B¶o §iÓn' cao thñ trªn giang hå lÇn l­ît chÕt d­íi tay h¾n, thÕ 'Quú Hoa B¶o §iÓn' lµ lo¹i vâ c«ng g× mµ lîi h¹i thÕ nµy? Tr­íc ®©y t¹i h¹ cã tra kh¶o qua D­¬ng Liªn §Ønh biÕt r»ng chØ cã NhËm gi¸o chñ n¾m ®­îc nh­îc ®iÓm cña §«ng Ph­¬ng BÊt B¹i.	NpcName: 'Quú Hoa B¶o §iÓn' vâ c«ng b¸c ®¹i tinh th©m, c¶ ta còng kh«ng lÜnh héi hÕt ®iÒu ¶o diÖu bªn trong. N¨m x­a giang hå ®ån r»ng néi c«ng 'Quú Hoa B¶o §iÓn' cã thÓ ®ét ph¸ kinh m¹ch, ng­ng tô ch©n khİ, ®¶ th«ng kú kinh b¸t m¹ch, tiÕn vµo c¶nh giíi vâ gi¶, v« ®Şch thiªn h¹.	PlayerName: Th× ra lµ thÕ, thÕ t¹i sao §«ng Ph­¬ng BÊt B¹i l¹i së h÷u ®­îc Quú Hoa B¶o §iÓn?	NpcName: Nh¾c ®Õn chuyÖn nµy ta l¹i né khİ xung thiªn. N¨m x­a nh©n sÜ trªn c¶ giang hå ®Òu muèn ®o¹t lÊy quyÓn vâ c«ng mËt tŞch nµy, ta träng th­¬ng ®o¹t ®­îc liÒn quay l¹i H¾c Méc Nhai nµo ngê trung ph¶i ¸m thñ cña tªn §«ng Ph­¬ng BÊt B¹i, khi tØnh l¹i ®· bŞ giam cÇm trong ®¹i lao ®Õn nay.	PlayerName: tªn §«ng Ph­¬ng BÊt B¹i qu¶ lµ nham hiÓm, nay h¾n l¹i lîi h¹i thÕ nµy, chóng ta ph¶i ®èi phã víi h¾n nh­ thÕ nµo ®©y?	NpcName: Haha thùc ra tªn §«ng Ph­¬ng tiÓu tö ®ã t­ëng r»ng h¾n thiªn h¹ v« ®Şch, thùc ra 'Quú Hoa B¶o §iÓn' ®­îc chia thµnh 2 bé gåm D­¬ng Lôc vµ ¢m Lôc, tr­íc ®©y ta ®· cÊt giÊu phÇn D­¬ng Lôc, h¾n chØ c­íp ®i phÇn ¢m Lôc mµ th«i. Ng­êi chØ luyÖn ¢m Lôc rÊt dÔ tÈu háa nhËp ma, ®iÒu quan träng phÇn ©m lôc chØ dµnh cho n÷ giíi, nÕu nhÊt quyÕt ph¶i luyÖn th× ph¶i 'tù cung' v× thÕ h¾n ®· trë nªn bÊt nam bÊt n÷ nh­ thÕ nµy. Ng­êi tÈu háa nhËp ma khi luyÖn c«ng kh«ng thÓ mÊt tËp trung, v× thÕ khi giao ®Êu víi h¾n h·y nhiÒu lo¹n sù tËp trung b»ng néi c«ng cÇm ©m lµ tèt nhÊt.	H­íng VÊn Thiªn: Gi¸o chñ anh minh, lóc nghe gi¸o chñ nãi vÒ nh­îc ®iÓm cña §«ng Ph­¬ng BÊt B¹i, ta chît nghÜ ®Õn NhËm tiÓu th­, NhËm tiÓu th­ tõ bĞ ®· thİch cÇm ©m, tr­íc ®©y khi cßn ë trªn H¾c Méc Nhai c« ta th­êng ch¬i ®µn cho mäi ng­êi nghe, nh­ng khi ta rêi khái H¾c Méc Nhai, th× kh«ng cßn tin tøc g× cña c« Êy n÷a. NÕu nh­ cã NhËm tiÓu th­ bªn c¹nh nhÊt ®Şnh cã thÓ hç trî chóng ta ®¸nh b¹i tªn §«ng Ph­¬ng tiÓu tö.	NpcName: ¤i, Danh Danh cña cha, ta ®· l©u n¨m kh«ng gÆp ®­îc con råi, nh¾c l¹i thËt cã lçi víi con. Ta ®· kh«ng lµm trßn tr¸ch nhiÖm cña ng­êi cha...	PlayerName: tinh yªu th­¬ng cña giao chñ ®èi víi tiÓu th­ qu¶ thËt s©u ®Ëm. T¹i h¹ nguyÖn gióp gi¸o chñ ®Õn H¾c Méc Nhai t×m hiÓu th«ng tin cña NhËm tiÓu th­, gi¸o chñ kh«ng nªn qu¸ lo l¨ng , NhËm tiÓu th­ nhÊt ®Şnh sÏ b×nh an v« sù	NpcName: thËt ®a t¹ <sex> gióp ®ì, ta sÏ d¹y c¸c h¹ mét ph­¬ng ph¸p dŞ dung cã thÓ gióp <sex> dÔ dµng th©m nhËp vµo tæng bé NhËt NguyÖt ThÇn Gi¸o, th¸m thİnh xem Danh Danh hiÖn nay nh­ thÕ nµo.	PlayerName: t¹i h¹ nhÊt ®Şnh sÏ t×m ®­îc NhËm tiÓu th­.												
57	finish_talk	PlayerName: H¾c tæng qu¶n, t¹i h¹ lµ gi¸o ®å võa gia nhËp H¾c Méc Nhai, nghe kÓ r»ng NhËm Danh Danh tiÓu th­ ®µn cÇm rÊt hay, th­êng ch¬i ®µn choi mäi ng­êi nghe, kh«ng biÕt khi nµo tiÓu th­ míi b¾t ®Çu ®¸nh ®µn thÕ?	NpcName: §óng vËy, cÇm ©m cña NhËm tiÓu th­ rÊt hay vµ dŞu tai, nh­ng ®ã lµ viÖc sù viÖc tõ vµi n¨m tr­íc råi, ng­¬i kh«ng cã ®­îc sù may m¾n nh­ thÕ ®Ó nghe l¹i tiÓu th­ ch¬i ®µn ®©u. §«ng ph­¬ng gi¸o chñ ®· ®Ó tiÓu th­ ngao du tø h¶i bªn ngoµi, ®· nhiÒu n¨m nay tiÓu th­ kh«ng quay l¹i H¾c Méc Nhai n÷a, mäi ng­êi ë ®©y ®Òu rÊt nhí c« Êy.	PlayerName: thÕ  th× tiÕc qu¸. ChØ ®µnh mong chê c« Êy sím quay vÒ th«i. (nghÜ trong lßng: ®µnh ph¶i quay vÒ b¸o víi NhËm gi¸o chñ ®iÒu nµy th«i)																				
58	get_talk	NpcName#§óng thÕ, ta còng ®· l©u kh«ng nghe ®­îc cÇm ©m cña tiÓu th­ råi, thËt hi väng mét ngµy nµo ®ã cã thÓ sím gÆp l¹i c« Êy.	PlayerName: (nghÜ trong lßng) ta ph¶i nhanh chãng ®Õn bÈm b¸o víi NhËm Gi¸o chñ míi ®­îc.																					
58	finish_talk	PlayerName: NhËm tiÒn bèi, t¹i h¹ ®· th¸m thİnh ®­îc tin tøc cña tiÓu th­ råi.	NpcName: ThÕ th× tèt qu¸, Danh Danh hiÖn thÕ nµo råi?	PlayerName: H¾c Tæng Qu¶n nãi r»ng NhËm tiÓu th­ vµi n¨m tr­íc ®· rêi khái H¾c Méc Nhai ngao du tø h¶i, hiÖn kh«ng ai biÕt râ tung tİch cña c« Êy c¶.																				
59	get_talk	NpcName: Ngao dua tø h¶i ­? Danh Danh cã thÓ ®i ®©u ®­îc chø?	H­íng VÊn Thiªn#Ta nghÜ tiÓu th­ kh«ng ë H¾c Méc Nhai nhÊt ®Şnh lµ ®Õn n¬i ®ã råi.#	PlayerName: H­íng ®¹i ca, ®¹i ca biÕt NhËm tiÓu th­ ®i ®©u sao?	H­íng VÊn Thiªn# tiÓu th­ tõ nhá cã mét vŞ cÇm s­ d¹y cho cÇm phæ ®¸nh ®µn, ta nghÜ tiÓu th­ ngao du bªn ngoµi nhÊt ®Şnh sÏ t×m ®Õn th¨m hái vŞ cÇm s­ ®ã. §ã chİnh lµ Lôc Tróc ¤ng sèng t¹i thµnh T­¬ng D­¬ng, ta sÏ göi <sex> mang theo mét bøc th­ ®Õn gÆp Lôc Tróc ¤ng, c¸c h¹ mang ®i gÆp «ng ta nhÊt ®Şnh sÏ th¸m thİnh ®­îc th«ng tin nµo ®ã cña tiÓu th­.	PlayerName: ®­îc, t¹i h¹ lËp tøc ®Õn T­¬ng D­¬ng t×m gÆp Lôc Tróc ¤ng.																		
59	finish_talk	PlayerName: L·o B¸, xin hái l·o b¸ cã ph¶i lµ Lôc Tróc ¤ng kh«ng?	NpcName: chİnh lµ ta, <sex> t×m ta cã viÖc chi?	PlayerName: Lôc tiÒn bèi, t¹i h¹ ®Õn ®©y chİnh lµ v× muèn t×m hiÓu th«ng tin cña NhËm tiÓu th­, ®©y lµ th­ cña H­íng VÊn Thiªn H­íng ®¹i ca göi ng­êi, xin xem qua.																				
60	get_talk	NpcName: H·y ®Ó ta xem... å th× ra NhËm gi¸o chñ vÉn cßn t¹i thÕ sao, Danh Danh biÕt ®­îc nhÊt ®Şnh sÏ rÊt vui. <sex> nhÊt ®Şnh ph¶i cøu Danh Danh ra khái n¬i giam cÇm cña c« Êy. 	PlayerName: Cøu c« Êy? NhËm tiÓu th­ kh«ng ph¶i ®ang ngao du kh¾p n¬i sao? Kh«ng lÏ c« Êy ®· gÆp ph¶i chuyÖn g× råi?	NpcName: Thùc ra Danh Danh bŞ bän NhËt NguyÖt ThÇn Gi¸o giam láng t¹i Linh B¶o S¬n, §«ng Ph­¬ng BÊt B¹i cùc kú c¨m ghĞt tiÓu th­ ch¬i ®µn trªn H¾c Méc Nhai, nh­ng l¹i kh«ng thÓ cÊm co ta ch¬i ®µn, cuèi cïng h¾n phÉn né bÌn ¸p gi¶i c« ta ®Õn t©y ®¶o, ®Ó mét sè gi¸o ®å canh gi÷, kh«ng cho c« ta ra ngoµi.	PlayerName: Tªn §«ng Ph­¬ng BÊt B¹i nµy thËt lµ tµn nhÉn, chóng ta cßn t­ëng r»ng h¾n ®èi ®·i rÊt tèt víi tiÓu th­, nµo ngê l¹i giam cÇm c« ta. Ta nhÊt ®Şnh ph¶i cøu tiÓu th­ tho¸t khái n¬i giam cÇm	NpcName: Tªn §«ng Ph­¬ng BÊt B¹i nµo ®©u cã tèt nh­ thÕ, chØ tiÕc r»ng ta tuæi giµ søc yÕu kh«ng thÓ gióp g× ®­îc cho tiÓu th­, chØ ®µnh nhê cËy <sex> ra tay t­îng trî.	PlayerName: Lôc tiÒn bèi yªn t©m, t¹i h¹ nhÊt ®Şnh sÏ cøu ®­îc NhËm tiÓu th­ trë vÒ	NpcName: thÕ th× tèt qu¸, hi väng c¶ 2 ®Òu b×nh an trë vÒ.																
60	finish_talk	PlayerName: NhËm tiÓu th­, ta ®Õn ®Ó gi¶i cøu c« ®©y.	NpcName: <sex> lµ ai, t¹i sao l¹i ®Õn cøu ta?	PlayerName: Sù t×nh nh­ thÕ nµy.... råi sau ®ã thÕ nµy...	NpcName: th× ra lµ thÕ, phô th©n ta vÉn cßn sèng sao? hiÖn «ng Êy ®ang ë ®©u h·y mau ®­a ta ®Õn gÆp «ng Êy.	PlayerName: NhËm tiÓu th­ kh«ng cÇn gÊp nh­ thÕ, NhËm gi¸o chñ hiÖn ®ang trªn §¶o §µo Hoa trŞ th­¬ng cho H­íng ®¹i ca.	NpcName: H­íng thóc thóc ®· ®­îc cøu tho¸t råi µ, thÕ th× tèt qu¸, tèt qu¸.	PlayerName: VËy chóng ta h·y mau lªn ®­êng, phô th©n cña c« nhÊt ®Şnh rÊt nhung nhí c«.																
61	get_talk	NpcName: vÉn ch­a ®­îc, bªn ngoµi cã rÊt nhiÒu gi¸o ®å ®ang canh gi÷ ta, chóng nhÊt ®Şnh kh«ng ®Ó ta dÔ dµng tho¸t khái n¬i ®©y, <sex> cã thÓ gióp ta trõng trŞ bän chóng kh«ng?	PlayerName: ®­îc NhËm tiÓu th­ h·y ë l¹i chê trong gi©y l¸t.	NpcName: ®­îc, ®a t¹ <sex> t­¬ng trî.																				
61	finish_talk	PlayerName: NhËm tiÓu th­, t¹i h¹ ®· gi¶i quyÕt hÕt bän gi¸o ®å råi,  chóng ta h·y quay vÒ §µo Hoa §¶o th«i.																						
62	get_talk	NpcName: ThËt c¶ t¹ <sex> t­¬ng trî, nh­ng ta vÉn cßn vµi viÖc cÇn gi¶i quyÕt, <sex> cø quay l¹i §µo Hoa §¶o, chóng ta sÏ gÆp l¹i t¹i ®ã.	PlayerName: th«i ®­îc, NhËm tiÓu th­ h·y cÈn thËn, chóng ta sÏ gÆp l¹i trªn §µo Hoa §¶o	NpcName: V©ng.																				
62	finish_talk	PlayerName: NhËm gi¸o chñ, t¹i h¹ ®· gi¶i cøu NhËm tiÓu th­ vÒ råi.	NpcName: Danh Danh cña ta, <sex> t×m ra c« Êy nh­ thÕ nµo?	PlayerName: chuyÖn lµ thÕ nµy……	NpcName: hõ, ta biÕt thÕ nµo tªn §«ng Ph­¬ng BÊt B¹i còng kh«ng dÔ dµng tha cho cha con ta mµ, sau nµy nhÊt ®Şnh ph¶i trõng trŞ h¾n... Danh Danh cña cha, bao n¨m kh«ng gÆp, ®· lín thÕ nµy råi sao, ®Òu lµ lçi cña cha ®· kh«ng lµm trßn bæn phËn.	NhËm Doanh Doanh: con nhí cha qu¸, nh÷ng n¨m cha chŞu tñi nhôc trong ®Şa lao thÕ nµy mµ con kh«ng hÒ hay biÕt.	NpcName: chóng ta nhÊt ®Şnh sÏ trõng trŞ tªn §«ng Ph­¬ng ¸c tÆc, b¸o thï cho nh÷ng n¨m th¸ng chia li cña cha con ta.	NhËm Doanh Doanh: H­íng thóc thóc, ®· l©u kh«ng gÆp, con nhí thóc qu¸, nghe <sex> nãi kŞch ®éc cña thóc thóc ®· ®­îc gi¶i cøu, thËt tèt biÕt bao.	H­íng VÊn Thiªn: tiÓu th­ quay vÒ lµ tèt råi, thóc thóc rÊt nhí tiÓu th­. Còng may nhê cã gi¸o chñ ®©y vËn c«ng trŞ th­¬ng, thóc thóc ®· khái h¼n råi, ngµy tµn cña tªn §«ng Ph­¬ng tiÓu tö ®· ®Õn.	NhËm Doanh Doanh: §«ng Ph­¬ng BÊt B¹i? kh«ng lÏ mäi ng­êi dù ®Şnh ®i tiªu diÖt h¾n sao? H¾n ®· luyÖn ®­îc Quú Hoa B¶o §iÓn, vâ c«ng v« cïng lîi h¹i, mäi ng­êi kh«ng nªn m¹o hiÓm.	NpcName: thùc ra §«ng Ph­¬ng ¸c tÆc luyÖn ®­îc Quú Hoa B¶o §iÓn, vâ c«ng c¸i thÕ nh­ng cã mét nh­îc ®iÓm chÕt ng­êi chİnh lµ kh«ng thÓ tËp trung vËn c«ng khi bŞ t¹p ©m quÊy nhiÔu, v× thÕ chØ cÇn cã ng­êi ch¬i ®µn bªn c¹nh h¾n, nhÊt ®Şnh sÏ khiÕn h¾n mÊt tËp trung mµ tÈu háa nhËp ma, sau ®ã chóng ta chi cÇn hîp søc l¹i lµ ®¸nh b¹i ®­îc h¾n.	NhËm Doanh Doanh: th× ra lµ thÕ. HÌn chi mçi lÇn con ch¬i ®µn trªn H¾c Méc Nhai ®Òu nghe §«ng Ph­¬ng BÊt B¹i næi c¬n ®iªn, ®©y qu¶ lµ c¸ch ®Ó ®¸nh b¹i h¾n.	NpcName: ngµy mai chóng ta sÏ xuÊt ph¸t c«ng ph¸ lªn H¾c Méc Nhai quyÕt chiÕn víi chóng.	NhËm Doanh Doanh: con nhÊt ®Şnh sÏ ®i cïng phô th©n.	NpcName: ®­îc, H­íng l·o ®Ö vµ <sex> th× sao?	H­íng VÊn Thiªn: gi¸o chñ, t¹i h¹ nhÊt ®Şnh s¸t c¸nh cïng gi¸o chñ c«ng ph¸ H¾c Méc Nhai.								
63	get_talk	PlayerName# viÖc nµy ph¶i quay l¹i bÈm b¸o víi Nh¹c Tr­ëng M«n, xem «ng ta cã cao kiÕn g×, nÕu kh«ng mäi ng­êi chØ x«ng th¼ng lªn H¾c Méc Nhai ch¾c ch¾n sÏ kh«ng ®Şch l¹i bän chóng	PlayerName# Gi¸o chñ, viÖc nµy kh«ng thÓ hµnh sù lç m·ng, xin gi¸o chñ ®Ó thêi gian t¹i h¹ suy nghÜ t×m kÕ s¸ch øng phã.	NpcName: ®µnh vËy, hi väng <sex> cã thÓ trî gióp ta tiªu diÖt §«ng Ph­¬ng BÊt B¹i.	PlayerName: ®a t¹ gi¸o chñ tin t­ëng.																			
63	finish_talk	NpcName: <sex> quay vÒ råi sao, t×nh h×nh th¸m thİnh H­íng VÊn Thiªn biÕt ®­îc tin tøc g× ch­a?	PlayerName: Nh¹c tr­ëng m«n, nh÷ng ngµy nµy t¹i h¹ ®· gÆp ph¶i...., hiÖn nµy chóng ta cã nªn m¹o hiÓm x«ng th¼ng lªn H¾c Méc Nhai kh«ng?																					
64	get_talk	NpcName: NhËm Ng· Hµnh vÉn cßn sèng sao, kh«ng cÇn lo l¾ng, NhËm Ng· Hµnh tr­íc ®©y lµ gi¸o chñ cña NhËt NguyÖt ThÇn Gi¸o, v× thÕ nhÊt ®Şnh sÏ biÕt râ mäi ngâ ng¸ch trong H¾c Méc Nhai, «ng ta vâ c«ng cao c­êng, céng thªm H­íng VÊn Thiªn vµ NhËm Danh Danh hç trî, cïng víi vâ c«ng tuyÖt thÕ cña c¸c h¹ nhÊt ®Şnh sÏ tiªu diÖt ®­îc tªn §«ng Ph­¬ng BÊt B¹i.	PlayerName# kú l¹, tr­íc ®©y Nh¹c tr­ëng m«n lµm viÖc g× còng suy nghÜ rÊt thÊu ®¸o, h«m nay sao l¹i quyÕt ®Şnh nhanh nh­ thÕ? Hay lµ qu¸ tin t­ëng vµo n¨ng lùc cña NhËm gi¸o chñ, th«i th× kh«ng nªn suy nghÜ nhiÒu n÷a	PlayerName#Th«i ®­îc råi, t¹i h¹ ®µnh nghe theo lêi tr­ëng m«n, hç trî NhËm gi¸o chñ c«ng ph¸ H¾c Méc Nhai vËy	NpcName: ®­îc råi, hi väng mäi ng­êi b×nh yªn trë vÒ.																			
